cnae_classe;regiao_administrativa;saldo
Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Itapeva;     3
Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Marília;   -14
Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Presidente Prudente;     1
Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Região Administrativa Central;   -23
Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Registro;     3
Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Ribeirão Preto;     9
Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Santos;   -18
Atividades auxiliares dos transportes terrestres não especificadas anteriormente;São José do Rio Preto;    11
Atividades auxiliares dos transportes terrestres não especificadas anteriormente;São José dos Campos;     8
Atividades auxiliares dos transportes terrestres não especificadas anteriormente;São Paulo;   -97
Atividades auxiliares dos transportes terrestres não especificadas anteriormente;Sorocaba;   -29
Atividades de administração de fundos por contrato ou comissão;Campinas;    -3
Atividades de administração de fundos por contrato ou comissão;Presidente Prudente;     0
Atividades de administração de fundos por contrato ou comissão;São José do Rio Preto;     0
Atividades de administração de fundos por contrato ou comissão;São Paulo;   185
Atividades de agenciamento marítimo;Campinas;    -5
Atividades de agenciamento marítimo;Santos;    75
Atividades de agenciamento marítimo;São José do Rio Preto;    -2
Atividades de agenciamento marítimo;São José dos Campos;    -1
Atividades de agenciamento marítimo;São Paulo;   -44
Atividades de apoio à agricultura;Araçatuba;   544
Atividades de apoio à agricultura;Barretos; -3474
Atividades de apoio à agricultura;Bauru;   405
Atividades de apoio à agricultura;Campinas;  -960
Atividades de apoio à agricultura;Franca;   346
Atividades de apoio à agricultura;Itapeva;  -103
Atividades de apoio à agricultura;Marília;  -590
Atividades de apoio à agricultura;Presidente Prudente;    94
Atividades de apoio à agricultura;Região Administrativa Central;  -571
Atividades de apoio à agricultura;Registro;    -9
Atividades de apoio à agricultura;Ribeirão Preto;   488
Atividades de apoio à agricultura;Santos;     0
Atividades de apoio à agricultura;São José do Rio Preto;  1212
Atividades de apoio à agricultura;São José dos Campos;    11
Atividades de apoio à agricultura;São Paulo;  1306
Atividades de apoio à agricultura;Sorocaba;   251
Atividades de apoio à educação;Araçatuba;     2
Atividades de apoio à educação;Barretos;     8
Atividades de apoio à educação;Bauru;     3
Atividades de apoio à educação;Campinas;    80
Atividades de apoio à educação;Franca;    -1
Atividades de apoio à educação;Itapeva;     2
Atividades de apoio à educação;Marília;    -3
Atividades de apoio à educação;Presidente Prudente;     1
Atividades de apoio à educação;Região Administrativa Central;    -6
Atividades de apoio à educação;Ribeirão Preto;    -2
Atividades de apoio à educação;Santos;    31
Atividades de apoio à educação;São José do Rio Preto;    -7
Atividades de apoio à educação;São José dos Campos;     4
Atividades de apoio à educação;São Paulo;   182
Atividades de apoio à educação;Sorocaba;     0
Atividades de apoio à extração de minerais, exceto petróleo e gás natural;Bauru;    -3
Atividades de apoio à extração de minerais, exceto petróleo e gás natural;Campinas;    -4
Atividades de apoio à extração de minerais, exceto petróleo e gás natural;Itapeva;    -3
Atividades de apoio à extração de minerais, exceto petróleo e gás natural;São Paulo;    -3
Atividades de apoio à extração de petróleo e gás natural;Região Administrativa Central;    -4
Atividades de apoio à extração de petróleo e gás natural;Santos;    -5
Atividades de apoio à gestão de saúde;Araçatuba;     4
Atividades de apoio à gestão de saúde;Barretos;   499
Atividades de apoio à gestão de saúde;Bauru;    48
Atividades de apoio à gestão de saúde;Campinas;   113
Atividades de apoio à gestão de saúde;Franca;     2
Atividades de apoio à gestão de saúde;Marília;   105
Atividades de apoio à gestão de saúde;Presidente Prudente;    23
Atividades de apoio à gestão de saúde;Registro;   -54
Atividades de apoio à gestão de saúde;Ribeirão Preto;     7
Atividades de apoio à gestão de saúde;Santos;    31
Atividades de apoio à gestão de saúde;São José do Rio Preto;     1
Atividades de apoio à gestão de saúde;São José dos Campos;    85
Atividades de apoio à gestão de saúde;São Paulo;  1202
Atividades de apoio à gestão de saúde;Sorocaba;    73
Atividades de apoio à pecuária;Araçatuba;     9
Atividades de apoio à pecuária;Barretos;    -2
Atividades de apoio à pecuária;Bauru;    75
Atividades de apoio à pecuária;Campinas;    66
Atividades de apoio à pecuária;Franca;    -2
Atividades de apoio à pecuária;Itapeva;    -2
Atividades de apoio à pecuária;Marília;     5
Atividades de apoio à pecuária;Presidente Prudente;     0
Atividades de apoio à pecuária;Região Administrativa Central;     2
Atividades de apoio à pecuária;Ribeirão Preto;     3
Atividades de apoio à pecuária;Santos;     8
Atividades de apoio à pecuária;São José do Rio Preto;     1
Atividades de apoio à pecuária;São José dos Campos;    -1
Atividades de apoio à pecuária;São Paulo;    80
Atividades de apoio à pecuária;Sorocaba;   -20
Atividades de apoio à produção florestal;Bauru;    37
Atividades de apoio à produção florestal;Campinas;    23
Atividades de apoio à produção florestal;Franca;     1
